question id,claudesonnet420250514 single LLM,gemini2.5pro single LLM,gpt5 single LLM,grok4 single LLM,massgen,massgen_identified,masgen_show_voting,true_answer
54,D,D,D,D,D,D,D,D
55,B,B,B,B,B,B,B,B
56,A,A,A,A,A,A,A,A
57,D,D,D,D,D,D,D,D
58,C,C,C,C,C,C,C,C
59,C,C,C,C,C,C,C,C
60,B,B,B,B,B,B,B,B
61,C,C,C,C,C,C,C,C
62,B,B,B,B,B,B,B,B
63,B,B,B,B,B,B,B,B
64,B,A,D,A,C,D,B,D
65,B,B,B,D,C,C,B,A
66,C,C,C,C,C,C,C,C
67,B,B,B,B,B,B,B,B
68,D,D,D,D,D,D,D,D
69,C,C,C,B,C,C,C,C
70,C,C,C,C,C,C,C,B
71,C,B,B,B,B,B,B,B
72,B,B,B,B,B,B,B,B
73,A,A,A,A,A,A,A,A
74,A,A,A,A,A,A,A,A
75,A,A,A,A,A,A,A,A
76,B,D,B,B,A,B,B,A
77,A,A,A,A,D,A,D,A
78,C,C,B,C,C,C,C,C
79,D,D,D,D,D,D,D,D
80,A,B,B,B,B,B,B,B
81,A,C,C,C,C,C,C,C
82,C,C,C,C,C,C,C,C
83,C,B,B,B,B,B,B,B
84,D,A,A,A,A,A,A,A
85,C,D,D,D,D,D,D,D
86,B,C,C,C,C,C,C,D
87,A,A,C,C,C,A,A,C
88,B,C,B,B,B,C,C,C
89,C,B,B,B,B,B,B,B
90,A,B,C,C,C,C,C,C
91,C,C,C,C,C,C,C,C
92,B,B,B,B,B,B,B,B
93,B,B,B,B,B,B,B,B
94,A,A,A,A,A,A,A,A
95,A,A,A,A,A,A,A,A
96,B,B,B,B,B,B,B,B
97,C,A,C,C,A,A,C,A
98,B,B,B,B,B,B,B,B
99,A,A,A,A,A,A,A,A
100,D,A,A,A,A,A,A,A
101,D,D,D,D,D,D,D,D
102,C,B,C,D,B,B,B,B
103,B,B,B,B,B,B,B,D
104,C,A,A,A,A,A,A,A
105,B,B,B,B,B,B,B,B
106,C,B,C,A,C,D,D,C
107,A,A,D,A,A,D,A,A
108,B,B,D,C,B,B,B,B
109,A,A,A,C,C,A,A,A
110,A,D,C,A,D,D,D,D
111,D,D,B,D,D,B,B,D
112,C,D,D,D,D,D,D,C
113,B,D,D,D,D,D,D,D
114,A,C,C,C,C,C,C,C
115,D,D,D,D,D,D,D,D
116,B,B,B,A,B,B,B,A
117,B,B,B,B,B,B,B,B
118,D,A,A,A,A,A,A,A
119,B,B,B,C,B,B,B,C
120,C,A,D,A,A,A,A,D
121,A,A,A,A,A,A,A,A
122,B,B,B,B,B,B,B,B
123,D,A,D,A,A,D,D,D
124,B,C,C,B,B,B,B,B
125,B,A,C,B,B,B,B,A
126,D,A,A,A,A,A,A,A
127,C,B,A,B,B,B,B,B
128,C,C,C,C,C,C,C,C
129,A,D,A,A,A,A,A,D
130,C,D,D,D,D,D,D,D
131,B,C,C,C,C,C,C,C
132,B,B,B,B,B,B,B,B
133,C,A,A,A,A,A,A,A
134,A,B,B,B,B,B,B,B
135,C,A,A,A,D,D,A,C
136,C,B,B,B,B,B,B,B
137,D,A,A,A,A,A,A,A
138,C,C,C,C,C,C,C,C
139,D,D,D,D,D,D,D,D
140,B,B,B,B,B,B,B,B
141,C,C,C,D,C,C,C,C
142,A,D,A,A,A,A,D,A
143,B,D,B,D,D,D,D,B
144,D,D,D,D,D,D,D,D
145,A,A,A,A,A,A,A,A
146,C,C,C,C,C,C,C,C
147,D,D,D,D,D,D,D,D
148,C,B,B,B,B,B,B,B
149,B,B,B,B,B,B,B,A
150,D,D,D,D,D,D,D,D
151,C,C,C,C,C,C,C,C
152,A,A,A,A,A,A,A,A
153,B,B,B,B,B,B,B,B
154,A,A,A,C,A,A,A,A
155,C,C,C,C,C,C,C,C
156,C,C,C,C,C,C,C,C
157,C,C,C,C,C,C,C,C
158,A,A,A,B,A,A,A,A
159,C,C,C,C,C,C,C,C
160,D,B,B,B,B,B,B,B
161,B,B,D,D,D,D,D,D
162,D,D,D,D,D,D,D,D
163,D,C,C,C,C,C,C,C
164,B,B,B,B,B,B,B,B
165,B,B,B,B,B,B,B,B
166,C,C,C,C,C,C,C,C
167,D,D,D,D,D,D,D,D
168,D,D,D,D,D,D,D,D
169,D,D,D,D,D,D,D,D
170,D,D,D,D,D,D,D,D
171,A,A,A,A,A,A,A,A
172,A,A,A,A,A,A,A,A
173,B,B,C,C,C,C,C,C
174,A,A,A,A,A,A,A,A
175,A,A,A,A,A,A,A,A
176,B,B,B,B,B,B,B,B
177,A,A,A,A,A,A,A,A
178,B,B,B,B,B,B,B,B
179,A,A,A,A,A,A,A,A
180,A,A,A,A,A,A,A,A
181,D,D,D,D,D,D,D,D
182,C,C,C,C,C,C,C,C
183,A,A,A,A,A,A,A,A
184,B,B,B,B,B,B,B,B
185,C,B,A,B,B,B,B,B
186,A,A,A,A,A,A,A,A
187,A,A,A,A,A,A,A,A
188,C,C,C,C,C,C,C,C
189,D,B,B,B,B,B,B,B
190,A,A,A,A,A,A,A,A
191,D,D,D,D,D,D,D,D
192,A,A,A,A,A,A,A,A
193,D,D,D,D,D,D,D,D
194,C,C,C,C,C,C,C,C
195,D,D,D,D,D,D,D,D
196,A,A,A,D,A,A,A,D
197,C,C,C,C,C,C,C,C
